X,Y
1.085493433,0.02501064
3.055068935,0.07528925
4.232112988,0.057597712
6.199956452,0.090244168
6.984322575,0.075091303
7.969605194,0.105268367
8.951423736,0.100181122
10.33111632,0.145451666
11.01527163,0.110152716
12.00179142,0.152924176
13.27780912,0.142784327
15.14717381,0.172916852
18.29032929,0.170239615
19.17812287,0.207978265
20.45735721,0.230583846
22.32152578,0.207819908
24.48607936,0.242975346
25.56489207,0.225288756
27.53545731,0.285642883
28.4160753,0.250334036
29.69605194,0.280496254
32.25006681,0.280367588
33.53004345,0.310529806
34.7078298,0.300394905
36.67468353,0.322965844
38.8355256,0.320338094
40.90184784,0.355498481
41.98115542,0.342849649
45.9136257,0.375397132
47.88146916,0.408043588
49.05752348,0.380276532
49.94284272,0.39282639
