X,Y
0.301622178,0.045201263
1.789938339,0.196259786
3.27281095,0.291902966
3.968348229,0.372472461
5.346803646,0.405148609
8.503815434,0.543528608
9.690014549,0.619035601
11.36341142,0.654215782
12.35166325,0.714619397
14.5167117,0.754812593
15.49877768,0.752244227
16.4862872,0.805091204
18.94182329,0.802448608
23.76282946,0.880291378
25.73067292,0.912937835
26.90771697,0.895246296
28.87655017,0.937968269
29.7589002,0.920291576
30.84241417,0.950463692
32.80530895,0.932732563
33.59388145,0.960400645
34.96763562,0.945218088
36.73678949,0.955204529
37.91507072,0.950107386
39.78468284,0.982758791
40.86300068,0.960034443
41.94453517,0.970055524
43.02359532,0.954887813
44.79448123,0.982506409
46.1674931,0.959767214
47.15030137,0.964755486
49.11468076,0.962137633
